brain	987897	17252753	IL2_HUMAN	3558	IL2	24.032	30132	273	240	3.436	1.382	4.988
cancer	3025646	17252753	IL2_HUMAN	3558	IL2	31.115	30132	4867	1971	4.687	2.295	4.456
cardiovascular	1176673	17252753	IL2_HUMAN	3558	IL2	19.467	30132	217	42	3.336	0.633	4.904
diabetes	471394	17252753	IL2_HUMAN	3558	IL2	21.616	30132	158	73	3.199	0.869	5.314
hot+or+cold+or+alkaline+condition+or+acidic+condition+or+hypersaline+or+radiation	834939	17252753	IL2_HUMAN	3558	IL2	23.06	30132	421	85	3.624	0.934	5.058
eye+or+ocular	617328	17252753	IL2_HUMAN	3558	IL2	17.055	30132	88	21	2.944	0.342	5.189
food+or+nutrition+or+nutrients	1240588	17252753	IL2_HUMAN	3558	IL2	21.784	30132	285	103	3.455	1.017	4.871
glycoproteins	518297	17252753	IL2_HUMAN	3558	IL2	32.13	30132	2158	569	4.334	1.756	5.276
immune+or+immune+system	1178787	17252753	IL2_HUMAN	3558	IL2	36.372	30132	8753	2987	4.942	2.475	4.904
infectious+or+infection	1407452	17252753	IL2_HUMAN	3558	IL2	28.982	30132	1430	686	4.155	1.837	4.837
kidney+or+urine	998160	17252753	IL2_HUMAN	3558	IL2	28.023	30132	1183	350	4.073	1.545	4.988
liver+or+hepatic	1064899	17252753	IL2_HUMAN	3558	IL2	25.913	30132	628	265	3.798	1.425	4.962
mitochondria	71841	17252753	IL2_HUMAN	3558	IL2	15.63	30132	22	15	2.342	0.204	6.138
rat+or+mouse	2216673	17252753	IL2_HUMAN	3558	IL2	26.512	30132	1091	527	4.038	1.723	4.602
muscle+or+bone+or+musculoskeletal	2127925	17252753	IL2_HUMAN	3558	IL2	24.791	30132	838	248	3.923	1.396	4.66
pathology	2428237	17252753	IL2_HUMAN	3558	IL2	29.368	30132	2428	989	4.385	1.996	4.602
pediatric+or+newborn+or+infant+or+toddler+or+child+or+adolescent	3743828	17252753	IL2_HUMAN	3558	IL2	26.381	30132	1663	676	4.221	1.831	4.359
plasma+or+serum	1459655	17252753	IL2_HUMAN	3558	IL2	28.922	30132	1989	534	4.299	1.728	4.799
protein+aggregation	50542	17252753	IL2_HUMAN	3558	IL2	16.367	30132	40	2	2.602	0.0	6.29
rheumatic	54651	17252753	IL2_HUMAN	3558	IL2	16.537	30132	44	4	2.643	0.0	6.256
stem+cells	182292	17252753	IL2_HUMAN	3558	IL2	29.129	30132	422	286	3.625	1.458	5.731
toxicology+or+toxic+or+toxin	497395	17252753	IL2_HUMAN	3558	IL2	27.363	30132	609	244	3.785	1.389	5.289
