15S_RRNA	15S ribosomal RNA
GSC2	1,3-beta-glucan synthase GSC2
GSF2	Gsf2p
GSH1	glutamate--cysteine ligase
GSH2	glutathione synthase
GSM1	Gsm1p
GSP1	Ran GTPase GSP1
GSP2	Ran GTPase GSP2
GSY1	glycogen (starch) synthase GSY1
GSY2	glycogen (starch) synthase GSY2
GTB1	Gtb1p
GTF1	glutamyl-tRNA(Gln) amidotransferase subunit F
GTO1	omega-class glutathione transferase
GTO3	omega-class glutathione transferase
GTR1	Rag GTPase GTR1
GTR2	Gtr2p
GTS1	Gts1p
GTT1	bifunctional glutathione transferase/peroxidase
GTT2	glutathione transferase GTT2
GTT3	Gtt3p
GUA1	GMP synthase (glutamine-hydrolyzing)
GUD1	guanine deaminase
GUF1	GTPase GUF1
GUK1	guanylate kinase
GUP1	O-acyltransferase
GUP2	putative O-acyltransferase
GUS1	glutamate--tRNA ligase GUS1
GUT1	glycerol kinase
GUT2	glycerol-3-phosphate dehydrogenase
GVP36	Gvp36p
GWT1	glucosaminyl-phosphotidylinositol O-acyltransferase
GYL1	Gyl1p
GYP1	Gyp1p
GYP5	Gyp5p
GYP6	Gyp6p
GYP7	Gyp7p
GYP8	Gyp8p
GZF3	Gzf3p
HAA1	Haa1p
HAC1	transcription factor HAC1
HAL1	Hal1p
HAL5	protein kinase HAL5
HAL9	Hal9p
HAM1	nucleoside triphosphate pyrophosphohydrolase HAM1
HAP1	Hap1p
HAP2	Hap2p
HAP3	Hap3p
HAP4	transcription factor HAP4
HAP5	Hap5p
HAS1	ATP-dependent RNA helicase HAS1
HAT1	histone acetyltransferase catalytic subunit HAT1
HAT2	Hat2p
HBN1	putative nitroreductase
HBS1	ribosome dissociation factor GTPase HBS1
HBT1	Hbt1p
HCA4	RNA-dependent ATPase HCA4
HCH1	Hch1p
HCM1	Hcm1p
HCR1	translation initiation factor eIF3 core subunit j
HCS1	ATP-dependent 5'-3' DNA helicase HCS1
HDA1	histone deacetylase HDA1
HDA2	Hda2p
HDA3	Hda3p
HED1	Hed1p
HEF3	translation elongation factor EF-3
HEH2	Heh2p
HEK2	Hek2p
HEL1	E3 ubiquitin-protein ligase HEL1
HEL2	E3 ubiquitin-protein ligase HEL2
HEM1	5-aminolevulinate synthase
HEM12	uroporphyrinogen decarboxylase HEM12
HEM13	coproporphyrinogen oxidase
HEM14	oxygen-dependent protoporphyrinogen oxidase
HEM15	ferrochelatase HEM15
HEM2	porphobilinogen synthase HEM2
HEM25	Hem25p
HEM3	hydroxymethylbilane synthase
HEM4	uroporphyrinogen-III synthase HEM4
HER1	Her1p
HER2	glutamyl-tRNA(Gln) amidotransferase subunit HER2
HES1	oxysterol-binding protein related protein HES1
HFA1	acetyl-CoA carboxylase HFA1
HFD1	hexadecenal dehydrogenase
HFI1	Hfi1p
HFM1	Hfm1p
HGH1	Hgh1p
HHF1	histone H4
HHF2	histone H4
HHO1	histone H1
HHT1	histone H3
HHT2	histone H3
HIF1	Hif1p
HIM1	Him1p
HIP1	histidine permease
HIR1	Hir1p
HIR2	Hir2p
HIR3	Hir3p
HIS1	ATP phosphoribosyltransferase
HIS2	histidinol-phosphatase
HIS3	imidazoleglycerol-phosphate dehydratase HIS3
HIS4	trifunctional histidinol dehydrogenase/phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase
HIS5	histidinol-phosphate transaminase
HIS6	1-(5-phosphoribosyl)-5- ((5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase HIS6
HIS7	imidazoleglycerol-phosphate synthase
HIT1	Hit1p
HKR1	Hkr1p
HLJ1	type I HSP40 co-chaperone HLJ1
HLR1	Hlr1p
HMF1	putative isoleucine biosynthesis protein HMF1
HMG1	hydroxymethylglutaryl-CoA reductase (NADPH) HMG1
HMG2	hydroxymethylglutaryl-CoA reductase (NADPH) HMG2
HMI1	ATP-dependent 3'-5' DNA helicase
HMLALPHA1	transcriptional co-activator mating type protein alpha
HMLALPHA2	homeodomain mating type protein alpha2
HMO1	Hmo1p
HMRA1	Hmra1p
HMRA2	homeodomain mating type protein a2
HMS1	Hms1p
HMS2	Hms2p
HMT1	protein-arginine omega-N methyltransferase HMT1
HMX1	Hmx1p
HNM1	Hnm1p
HNT1	adenosine 5'-monophosphoramidase
HNT2	bis(5'-adenosyl)-triphosphatase
HNT3	DNA 5'-adenosine monophosphate hydrolase
HO	Hop
HOC1	alpha-1,6-mannosyltransferase
HOF1	formin-binding protein HOF1
HOG1	mitogen-activated protein kinase HOG1
HOL1	Hol1p
HOM2	aspartate-semialdehyde dehydrogenase
HOM3	aspartate kinase
HOM6	homoserine dehydrogenase
HOP1	Hop1p
HOP2	Hop2p
HOR7	Hor7p
HOS1	histone deacetylase
HOS2	histone deacetylase HOS2
HOS3	histone deacetylase
HOS4	Hos4p
HOT1	Hot1p
HOT13	Hot13p
HPA2	histone acetyltransferase
HPA3	D-amino-acid N-acetyltransferase
HPC2	Hpc2p
HPF1	mannoprotein
HPM1	Hpm1p
HPR1	Hpr1p
HPT1	hypoxanthine phosphoribosyltransferase
HRA1	ncRNA
HRB1	mRNA-binding protein
HRD1	E3 ubiquitin-protein ligase HRD1
HRD3	ubiquitin ligase complex subunit HRD3
HRI1	Hri1p
HRK1	putative serine/threonine protein kinase HRK1
HRP1	Hrp1p
HRQ1	ATP-dependent 3'-5' DNA helicase
HRR25	serine/threonine protein kinase HRR25
HRT1	SCF ubiquitin ligase complex subunit HRT1
HRT3	SCF ubiquitin ligase complex subunit HRT3
HSC82	Hsp90 family chaperone HSC82
HSE1	ESCRT-0 subunit protein HSE1
HSF1	stress-responsive transcription factor HSF1
HSH155	U2 snRNP complex subunit HSH155
HSH49	U2 snRNP complex subunit HSH49
HSK3	Hsk3p
HSL1	protein kinase HSL1
HSL7	protein arginine N-methyltransferase
HSM3	Hsm3p
HSP10	Hsp10p
HSP104	chaperone ATPase HSP104
HSP12	lipid-binding protein HSP12
HSP150	heat shock protein HSP150
HSP26	chaperone protein HSP26
HSP30	Hsp30p
HSP31	glutathione-independent methylglyoxalase
HSP32	glutathione-independent methylglyoxalase family protein
HSP33	glutathione-independent methylglyoxalase family protein
HSP42	heat shock protein HSP42
HSP60	chaperone ATPase HSP60
HSP78	chaperone ATPase HSP78
HSP82	Hsp90 family chaperone HSP82
HST1	histone deacetylase HST1
HST2	histone deacetylase HST2
HST3	NAD-dependent histone deacetylase HST3
HST4	NAD-dependent histone deacetylase HST4
HSV2	Hsv2p
HSX1	tRNA
HTA1	histone H2A
HTA2	histone H2A
HTB1	histone H2B
HTB2	histone H2B
HTD2	hydroxyacyl-thioester dehydratase HTD2
HTL1	Htl1p
HTS1	histidine--tRNA ligase
HTZ1	histone H2AZ
HUA1	Hua1p
HUA2	Hua2p
HUB1	ubiquitin-like protein HUB1
HUG1	Hug1p
HUL4	putative E3 ubiquitin-protein ligase HUL4
HUL5	ubiquitin-ubiquitin ligase HUL5
HUR1	Hur1p
HUT1	Hut1p
HVG1	putative GDP-mannose transporter
HXK1	hexokinase 1
HXK2	hexokinase 2
HXT1	hexose transporter HXT1
HXT10	hexose transporter HXT10
HXT11	hexose transporter HXT11
HXT12	pseudo
HXT13	hexose transporter HXT13
HXT14	Hxt14p
HXT15	hexose transporter HXT15
HXT16	hexose transporter HXT16
HXT17	hexose transporter HXT17
HXT2	hexose transporter HXT2
HXT3	hexose transporter HXT3
HXT4	hexose transporter HXT4
HXT5	hexose transporter HXT5
HXT6	hexose transporter HXT6
HXT7	hexose transporter HXT7
HXT8	hexose transporter HXT8
HXT9	hexose transporter HXT9
HYM1	Hym1p
HYP2	translation elongation factor eIF-5A
HYR1	peroxiredoxin HYR1
IAH1	isoamyl acetate-hydrolyzing esterase
IBA57	Iba57p
IBD2	Ibd2p
ICE2	Ice2p
ICL1	isocitrate lyase 1
ICL2	methylisocitrate lyase ICL2
ICP55	aminopeptidase
ICR1	ncRNA
ICS2	Ics2p
ICS3	Ics3p
ICT1	lysophosphatidic acid acyltransferase ICT1
ICY1	Icy1p
IDH1	isocitrate dehydrogenase (NAD(+)) IDH1
IDH2	isocitrate dehydrogenase (NAD(+)) IDH2
IDI1	isopentenyl-diphosphate delta-isomerase IDI1
IDP1	isocitrate dehydrogenase (NADP(+)) IDP1
IDP2	isocitrate dehydrogenase (NADP(+)) IDP2
IDP3	isocitrate dehydrogenase (NADP(+)) IDP3
IDS2	Ids2p
IES1	Ies1p
IES2	Ies2p
IES3	Ies3p
IES4	Ies4p
IES5	Ies5p
IES6	Ies6p
IFA38	ketoreductase
IFH1	Ifh1p
IFM1	translation initiation factor 2
IGD1	Igd1p
IGO1	phosphatase regulator
IGO2	phosphatase regulator
IKI1	Elongator subunit IKI1
IKI3	Elongator subunit IKI3
IKS1	protein kinase IKS1
ILM1	Ilm1p
ILS1	isoleucine--tRNA ligase ILS1
ILV1	threonine ammonia-lyase ILV1
ILV2	acetolactate synthase catalytic subunit
ILV3	dihydroxy-acid dehydratase ILV3
ILV5	ketol-acid reductoisomerase
ILV6	acetolactate synthase regulatory subunit
IMA1	oligo-1,6-glucosidase IMA1
IMA2	oligo-1,6-glucosidase IMA2
IMA3	oligo-1,6-glucosidase IMA3
IMA4	oligo-1,6-glucosidase IMA4
IMA5	oligo-1,6-glucosidase IMA5
IMD2	IMP dehydrogenase IMD2
IMD3	IMP dehydrogenase IMD3
IMD4	IMP dehydrogenase IMD4
IME1	transcription factor IME1
IME2	protein kinase IME2
IME4	mRNA (N6-adenosine)-methyltransferase
IMG1	mitochondrial 54S ribosomal protein IMG1
IMG2	mitochondrial 54S ribosomal protein IMG2
IMH1	Imh1p
IML1	Iml1p
IML2	Iml2p
IML3	Iml3p
IMO32	Imo32p
IMP1	endopeptidase catalytic subunit IMP1
IMP2	endopeptidase catalytic subunit
IMP2'	Imp2'p
IMP3	snoRNA-binding rRNA-processing protein IMP3
IMP4	snoRNA-binding rRNA-processing protein IMP4
IMT1	tRNA
IMT2	tRNA
IMT3	tRNA
IMT4	tRNA
INA1	Ina1p
INA17	Ina17p
INA22	Ina22p
INH1	ATPase inhibitor
INM1	inositol monophosphate 1-phosphatase INM1
INM2	inositol monophosphate 1-phosphatase INM2
INN1	Inn1p
INO1	inositol-3-phosphate synthase INO1
INO2	Ino2p
INO4	Ino4p
INO80	chromatin-remodeling ATPase INO80
INP1	Inp1p
INP2	Inp2p
INP51	phosphoinositide 5-phosphatase INP51
INP52	phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP52
INP53	phosphatidylinositol-3-/phosphoinositide 5-phosphatase INP53
INP54	phosphoinositide 5-phosphatase INP54
IOC2	Ioc2p
IOC3	Ioc3p
IOC4	Ioc4p
IPA1	putative polyadenylation protein
IPI1	Ipi1p
IPI3	chromatin-binding/pre-rRNA-processing protein IPI3
IPK1	inositol pentakisphosphate 2-kinase
IPL1	aurora kinase
IPP1	inorganic diphosphatase IPP1
IPT1	inositolphosphotransferase
IQG1	Iqg1p
IRA1	GTPase-activating protein IRA1
IRA2	Ras GTPase activating protein IRA2
IRC10	Irc10p
IRC13	Irc13p
IRC15	Irc15p
IRC18	Irc18p
IRC19	Irc19p
IRC20	E3 ubiquitin-protein ligase IRC20
IRC21	Irc21p
IRC22	Irc22p
IRC23	Irc23p
IRC24	sepiapterin reductase family protein IRC24
IRC25	Irc25p
IRC3	double-stranded DNA-dependent ATPase
IRC4	Irc4p
IRC5	putative ATPase
IRC6	Irc6p
IRC7	cysteine-S-conjugate beta-lyase IRC7
IRC8	Irc8p
IRE1	bifunctional endoribonuclease/protein kinase IRE1
IRR1	Irr1p
IRS4	Irs4p
IRT1	ncRNA
ISA1	Fe-binding Fe/S cluster assembly protein ISA1
ISA2	Isa2p
ISC1	inositol phosphosphingolipid phospholipase
ISC10	Isc10p
ISD11	Isd11p
ISF1	Isf1p
ISM1	isoleucine--tRNA ligase ISM1
ISN1	IMP 5'-nucleotidase
ISR1	putative protein kinase ISR1
IST1	Ist1p
IST2	Ist2p
IST3	U2 snRNP complex subunit IST3
ISU1	iron-binding protein ISU1
ISU2	putative iron-binding protein ISU2
ISW1	chromatin-remodeling ATPase ISW1
ISW2	DNA translocase
ISY1	Isy1p
ITC1	Itc1p
ITR1	myo-inositol transporter ITR1
ITR2	myo-inositol transporter ITR2
ITS1-1	miscRNA
ITS1-2	miscRNA
ITS2-1	miscRNA
ITS2-2	miscRNA
ITT1	Itt1p
IVY1	Ivy1p
IWR1	Iwr1p
IXR1	DNA-binding transcription repressor IXR1
IZH1	PAQR-type receptor
IZH2	PAQR-type receptor
IZH3	Izh3p
IZH4	Izh4p
JAC1	J-type chaperone JAC1
JEM1	Jem1p
JEN1	Jen1p
JHD1	[Histone H3]-lysine-36 demethylase
JHD2	histone demethylase
JID1	Jid1p
JIP3	Jip3p
JIP4	Jip4p
JIP5	Jip5p
JJJ1	Jjj1p
JJJ2	Jjj2p
JJJ3	Jjj3p
JLP1	sulfonate dioxygenase
JLP2	Jlp2p
JNM1	Jnm1p
JSN1	Jsn1p
KAE1	tRNA N6-adenosine threonylcarbamoyltransferase
KAP104	Kap104p
KAP114	Kap114p
KAP120	Kap120p
KAP122	Kap122p
KAP123	Kap123p
KAP95	karyopherin beta
KAR1	Kar1p
KAR2	Hsp70 family ATPase KAR2
KAR3	Kar3p
KAR4	Kar4p
KAR5	Kar5p
KAR9	Kar9p
KCC4	serine/threonine protein kinase
KCH1	Kch1p
KCS1	inositol polyphosphate kinase KCS1
KDX1	putative protein kinase KDX1
KEG1	Keg1p
KEI1	Kei1p
KEL1	Kel1p
KEL2	Kel2p
KEL3	Kel3p
KES1	oxysterol-binding protein KES1
KEX1	serine-type carboxypeptidase
KEX2	kexin KEX2
KGD1	alpha-ketoglutarate dehydrogenase KGD1
KGD2	alpha-ketoglutarate dehydrogenase KGD2
KHA1	Kha1p
KIC1	putative serine/threonine protein kinase KIC1
KIN1	serine/threonine protein kinase KIN1
KIN2	serine/threonine protein kinase KIN2
KIN28	TFIIH complex serine/threonine-protein kinase subunit KIN28
KIN3	serine/threonine protein kinase KIN3
KIN4	putative serine/threonine protein kinase KIN4
KIN82	putative serine/threonine protein kinase KIN82
KIP1	Kip1p
KIP2	Kip2p
KIP3	tubulin-dependent ATPase KIP3
KKQ8	putative serine/threonine protein kinase KKQ8
KNH1	Knh1p
KNS1	serine/threonine protein kinase KNS1
KOG1	ubiquitin-binding TORC1 subunit KOG1
KRE1	Kre1p
KRE2	alpha-1,2-mannosyltransferase KRE2
KRE28	Kre28p
KRE29	Smc5-Smc6 complex subunit KRE29
KRE33	ribosome biosynthesis protein KRE33
KRE5	Kre5p
KRE6	beta-glucan synthesis-associated protein KRE6
KRE9	Kre9p
KRI1	Kri1p
KRR1	ribosome biosynthesis protein KRR1
KRS1	lysine--tRNA ligase KRS1
KSH1	Ksh1p
KSP1	putative serine/threonine protein kinase KSP1
KSS1	mitogen-activated serine/threonine-protein kinase KSS1
KTI11	Kti11p
KTI12	Kti12p
KTR1	alpha-1,2-mannosyltransferase KTR1
KTR2	mannosyltransferase KTR2
KTR3	mannosyltransferase KTR3
KTR4	putative mannosyltransferase
KTR5	putative mannosyltransferase
KTR6	putative mannosyltransferase
KTR7	putative mannosyltransferase
KXD1	Kxd1p
LAA1	Laa1p
LAC1	sphingosine N-acyltransferase LAC1
LAG1	sphingosine N-acyltransferase LAG1
LAG2	Lag2p
LAM1	Lam1p
LAM4	Lam4p
LAM5	Lam5p
LAM6	Lam6p
LAP2	bifunctional aminopeptidase/epoxide hydrolase
LAP3	bleomycin hydrolase
LAS1	rRNA-processing protein LAS1
LAS17	actin-binding protein LAS17
LAS21	mannose-ethanolamine phosphotransferase LAS21
LAT1	dihydrolipoyllysine-residue acetyltransferase
LCB1	serine C-palmitoyltransferase LCB1
LCB2	serine C-palmitoyltransferase LCB2
LCB3	sphinganine kinase LCB3
LCB4	sphinganine kinase LCB4
LCB5	sphinganine kinase LCB5
LCD1	Lcd1p
LCL1	Lcl1p
LCL2	Lcl2p
LCL3	Lcl3p
LCP5	Lcp5p
LDB16	Ldb16p
LDB17	Ldb17p
LDB18	Ldb18p
LDB19	Ldb19p
LDB7	Ldb7p
LDH1	triacylglycerol lipase
LDS1	Lds1p
LDS2	Lds2p
LEA1	U2 snRNP complex subunit LEA1
LEE1	Lee1p
LEM3	Lem3p
LEO1	Leo1p
LEU1	3-isopropylmalate dehydratase LEU1
LEU2	3-isopropylmalate dehydrogenase
LEU3	leucine-responsive transcriptional regulator LEU3
LEU4	2-isopropylmalate synthase LEU4
LEU5	coenzyme A transporter
LEU9	2-isopropylmalate synthase LEU9
LGE1	Lge1p
LHP1	Lhp1p
LHS1	Hsp70 family chaperone LHS1
LIA1	Lia1p
LIF1	Lif1p
LIH1	putative lipase
LIN1	U5 snRNP complex subunit LIN1
LIP1	sphingosine N-acyltransferase subunit LIP1
LIP2	lipoyl(octanoyl) transferase LIP2
LIP5	putative lipoate synthase
LMO1	Lmo1p
LNP1	Lnp1p
LOA1	lysophosphatidic acid acyltransferase LOA1
LOC1	Loc1p
LOH1	Loh1p
LOS1	Ran GTPase-binding protein LOS1
LOT5	Lot5p
LOT6	flavin-dependent quinone reductase
LPD1	dihydrolipoyl dehydrogenase
LPL1	putative hydrolase
LPP1	phosphatidate phosphatase LPP1
LPX1	triglyceride lipase
LRE1	Lre1p
LRG1	Lrg1p
LRO1	phospholipid:diacylglycerol acyltransferase
LRP1	Lrp1p
LRS4	Lrs4p
LSB1	Lsb1p
LSB3	Lsb3p
LSB5	Lsb5p
LSB6	1-phosphatidylinositol 4-kinase LSB6
LSC1	succinate--CoA ligase (GDP-forming) subunit alpha
LSC2	succinate--CoA ligase (GDP-forming) subunit beta
LSG1	putative GTPase LSG1
LSM1	Lsm1p
LSM12	Lsm12p
LSM2	Sm-like protein LSM2
LSM3	U4/U6-U5 snRNP complex subunit LSM3
LSM4	U6 snRNA complex subunit LSM4
LSM5	RNA-binding protein LSM5
LSM6	U4/U6-U5 snRNP complex subunit LSM6
LSM7	Sm-like protein LSM7
LSM8	U4/U6-U5 snRNP complex subunit LSM8
LSO1	Lso1p
LSO2	Lso2p
LSP1	lipid-binding protein LSP1
LSR1	ncRNA
LST4	Lst4p
LST7	Lst7p
LST8	TOR complex subunit LST8
LTE1	mitotic regulator LTE1
LTO1	ribosome biosynthesis protein LTO1
LTP1	tyrosine protein phosphatase LTP1
LTV1	Ltv1p
LUC7	Luc7p
LYP1	lysine permease
LYS1	saccharopine dehydrogenase (NAD+, L-lysine-forming)
LYS12	homoisocitrate dehydrogenase
LYS14	Lys14p
LYS2	L-aminoadipate-semialdehyde dehydrogenase
LYS20	homocitrate synthase LYS20
LYS21	homocitrate synthase LYS21
LYS4	homoaconitate hydratase LYS4
LYS5	holo-[acyl-carrier-protein] synthase
LYS9	saccharopine dehydrogenase (NADP+, L-glutamate-forming)
MAC1	Mac1p
MAD1	coiled-coil domain-containing protein MAD1
MAD2	spindle checkpoint protein MAD2
MAD3	Mad3p
MAE1	malate dehydrogenase (oxaloacetate-decarboxylating)
MAF1	RNA polymerase III-inhibiting protein MAF1
MAG1	Mag1p
MAG2	Mag2p
MAK10	Mak10p
MAK11	Mak11p
MAK16	ribosome biosynthesis protein MAK16
MAK21	RNA-binding ribosome biosynthesis protein MAK21
MAK3	peptide alpha-N-acetyltransferase MAK3
MAK31	Mak31p
MAK32	Mak32p
MAK5	putative ATP-dependent RNA helicase
MAL11	alpha-glucoside permease
MAL12	alpha-glucosidase MAL12
MAL13	transcription factor MAL13
MAL31	maltose permease
MAL32	alpha-glucosidase MAL32
MAL33	transcription factor MAL33
MAM1	Mam1p
MAM3	Mam3p
MAM33	Mam33p
MAN2	putative mannitol dehydrogenase
MAP1	methionine aminopeptidase MAP1
MAP2	methionine aminopeptidase
MAS1	Mas1p
MAS2	mitochondrial-processing protease subunit alpha
MATALPHA1	transcriptional co-activator mating type protein alpha
MATALPHA2	homeodomain mating type protein alpha2
MAY24	hypothetical protein
MBA1	Mba1p
MBB1	Mbb1p
MBF1	Mbf1p
MBP1	transcription factor MBP1
MBR1	Mbr1p
MCA1	Ca(2+)-dependent cysteine protease MCA1
MCD1	kleisin alpha
MCD4	mannose-ethanolamine phosphotransferase MCD4
MCH1	Mch1p
MCH2	Mch2p
MCH4	Mch4p
MCH5	Mch5p
MCK1	serine/threonine/tyrosine protein kinase MCK1
MCM1	transcription factor MCM1
MCM10	Mcm10p
MCM16	Mcm16p
MCM2	MCM DNA helicase complex subunit MCM2
MCM21	Mcm21p
MCM22	Mcm22p
MCM3	MCM DNA helicase complex subunit MCM3
MCM4	MCM DNA helicase complex subunit MCM4
MCM5	MCM DNA helicase complex subunit MCM5
MCM6	MCM DNA helicase complex subunit MCM6
MCM7	mini-chromosome maintenance complex protein 7
MCP1	Mcp1p
MCP2	Mcp2p
MCR1	cytochrome-b5 reductase
MCT1	[acyl-carrier-protein] S-malonyltransferase
MCX1	Mcx1p
MCY1	putative cysteine synthase
MDE1	methylthioribulose 1-phosphate dehydratase MDE1
MDG1	Mdg1p
MDH1	malate dehydrogenase MDH1
MDH2	malate dehydrogenase MDH2
MDH3	malate dehydrogenase MDH3
MDJ1	Mdj1p
MDJ2	Mdj2p
MDL1	ATP-binding cassette permease MDL1
MDL2	ATP-binding cassette permease MDL2
MDM1	Mdm1p
MDM10	Mdm10p
MDM12	ERMES complex subunit MDM12
MDM20	Mdm20p
MDM30	SCF ubiquitin ligase complex subunit MDM30
MDM31	Mdm31p
MDM32	Mdm32p
MDM34	ERMES complex subunit MDM34
MDM35	Mdm35p
MDM36	Mdm36p
MDM38	ribosome-binding protein MDM38
MDN1	AAA family ATPase midasin
MDR1	Mdr1p
MDS3	Mds3p
MDV1	Mdv1p
MDY2	Mdy2p
MEC1	protein kinase MEC1
MEC3	Mec3p
MED1	Med1p
MED11	Med11p
MED2	Med2p
MED4	Med4p
MED6	mediator complex subunit MED6
MED7	mediator complex subunit MED7
MED8	Med8p
MEF1	Mef1p
MEF2	Mef2p
MEH1	Meh1p
MEI4	Mei4p
MEI5	Mei5p
MEK1	serine/threonine protein kinase MEK1
MEO1	Meo1p
MEP1	ammonium permease MEP1
MEP2	ammonium permease MEP2
MEP3	ammonium permease MEP3
MER1	Mer1p
MES1	methionine--tRNA ligase MES1
MET1	uroporphyrinogen-III C-methyltransferase
MET10	sulfite reductase subunit alpha
MET12	methylenetetrahydrofolate reductase (NAD(P)H) MET12
MET13	methylenetetrahydrofolate reductase (NAD(P)H) MET13
MET14	adenylyl-sulfate kinase
MET16	phosphoadenylyl-sulfate reductase (thioredoxin)
MET17	bifunctional cysteine synthase/O-acetylhomoserine aminocarboxypropyltransferase MET17
MET18	Met18p
MET2	homoserine O-acetyltransferase
MET22	3'(2'),5'-bisphosphate nucleotidase
MET28	Met28p
MET3	sulfate adenylyltransferase
MET30	ubiquitin-binding SDF ubiquitin ligase complex subunit MET30
MET31	Met31p
MET32	Met32p
MET4	Met4p
MET5	sulfite reductase (NADPH) subunit beta
MET6	5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase
MET7	tetrahydrofolate synthase
MET8	bifunctional precorrin-2 dehydrogenase/sirohydrochlorin ferrochelatase MET8
MEU1	S-methyl-5-thioadenosine phosphorylase
MEX67	Mex67p
MF(ALPHA)1	Mf(alpha)1p
MF(ALPHA)2	Mf(alpha)2p
MFA1	mating pheromone a
MFA2	mating pheromone a
MFB1	Mfb1p
MFG1	Mfg1p
MFM1	Mfm1p
MFT1	Mft1p
MGA1	Mga1p
MGA2	Mga2p
MGE1	Mge1p
MGL2	putative carboxylic ester hydrolase
MGM1	dynamin-related GTPase MGM1
MGM101	Mgm101p
MGR1	Mgr1p
MGR2	Mgr2p
MGR3	Mgr3p
MGS1	ssDNA-dependent ATPase MGS1
MGT1	methylated-DNA--protein-cysteine methyltransferase
MHF1	Mhf1p
MHF2	Mhf2p
MHO1	Mho1p
MHP1	Mhp1p
MHR1	Mhr1p
MHT1	S-adenosylmethionine-homocysteine S-methyltransferase MHT1
MIA40	Mia40p
MIC10	Mic10p
MIC12	Mic12p
MIC19	Mic19p
MIC26	Mic26p
MIC27	Mic27p
MIC60	Mic60p
MID1	Mid1p
MID2	Mid2p
MIF2	Mif2p
MIG1	transcription factor MIG1
MIG2	Mig2p
MIG3	Mig3p
MIH1	putative tyrosine protein phosphatase MIH1
MIL1	Mil1p
MIM1	Mim1p
MIM2	Mim2p
MIP1	DNA-directed DNA polymerase gamma MIP1
MIP6	Mip6p
MIR1	Mir1p
MIS1	trifunctional formate-tetrahydrofolate ligase/methenyltetrahydrofolate cyclohydrolase/methylenetetrahydrofolate dehydrogenase MIS1
MIT1	Mit1p
MIX14	Mix14p
MIX17	Mix17p
MIX23	Mix23p
MKC7	aspartyl protease
MKK1	mitogen-activated protein kinase kinase MKK1
MKK2	putative mitogen-activated protein kinase kinase MKK2
MKS1	Mks1p
MKT1	Mkt1p
MLC1	Mlc1p
MLC2	Mlc2p
MLF3	Mlf3p
MLH1	mismatch repair ATPase MLH1
MLH2	mismatch repair protein MLH2
MLH3	mismatch repair protein MLH3
MLP1	Mlp1p
MLP2	Mlp2p
MLS1	malate synthase MLS1
MME1	Mme1p
MMF1	isoleucine biosynthesis protein MMF1
MMM1	ERMES complex subunit MMM1
MMO1	Mmo1p
MMP1	S-methylmethionine permease MMP1
MMR1	Mmr1p
MMS1	Mms1p
MMS2	E2 ubiquitin-conjugating protein MMS2
MMS21	SUMO ligase MMS21
MMS22	Mms22p
MMS4	Mms4p
MMT1	Mmt1p
MMT2	Mmt2p
MND1	Mnd1p
MND2	Mnd2p
MNE1	Mne1p
MNL1	alpha-1,2-mannosidase MNL1
MNL2	putative mannosidase MNL2
MNN1	alpha-1,3-mannosyltransferase MNN1
MNN10	alpha-1,6-mannosyltransferase
MNN11	alpha-1,6-mannosyltransferase
MNN2	alpha-1,2-mannosyltransferase MNN2
MNN4	Mnn4p
MNN5	alpha-1,2-mannosyltransferase MNN5
MNN9	mannosyltransferase complex subunit MNN9
MNP1	mitochondrial nucleoid protein MNP1
MNR2	putative Mg(2+) transporter MNR2
MNS1	mannosyl-oligosaccharide 1,2-alpha-mannosidase
MNT2	alpha-1,3-mannosyltransferase MNT2
MNT3	alpha-1,3-mannosyltransferase MNT3
MNT4	putative alpha-1,3-mannosyltransferase
MOB1	Mob1p
MOB2	Mob2p
MOD5	tRNA dimethylallyltransferase
MOG1	Ran GTPase-binding protein MOG1
MOH1	Moh1p
MON1	Mon1p
MON2	Mon2p
MOT1	DNA-binding ATPase
MOT2	CCR4-NOT core ubiquitin-protein ligase subunit MOT2
MOT3	Mot3p
MPA43	Mpa43p
MPC1	pyruvate transporter MPC1
MPC2	mitochondrial pyruvate carrier
MPC3	mitochondrial pyruvate carrier
MPC54	Mpc54p
MPD1	protein disulfide isomerase MPD1
MPD2	protein disulfide isomerase MPD2
MPE1	cleavage polyadenylation factor subunit MPE1
MPH1	3'-5' DNA helicase
MPH2	alpha-glucoside permease
MPH3	alpha-glucoside permease
MPM1	Mpm1p
MPO1	Mpo1p
MPP10	rRNA-processing protein MPP10
MPP6	Mpp6p
MPS1	serine/threonine/tyrosine protein kinase MPS1
MPS2	Mps2p
MPS3	Mps3p
MPT5	Mpt5p
MRC1	chromatin-modulating protein MRC1
MRD1	RNA-binding ribosome biosynthesis protein MRD1
MRE11	MRX complex nuclease subunit
MRF1	Mrf1p
MRH1	Mrh1p
MRH4	ATP-dependent RNA helicase
MRI1	S-methyl-5-thioribose-1-phosphate isomerase MRI1
MRK1	putative serine/threonine protein kinase MRK1
MRL1	Mrl1p
MRM1	Mrm1p
MRM2	21S rRNA (uridine2791-2'-O) methyltransferase
MRN1	Mrn1p
