brain	human	4879	-1	2017-08-25 17:14:07
brain	human	627	1	2017-08-25 17:14:48
brain	human	627	1	2017-08-25 17:32:58
brain	human	627	1	2017-08-25 17:34:36
brain	human	627	1	2017-08-25 17:46:44
brain	human	627	1	2017-08-25 17:47:39
brain	human	627	1	2017-08-25 17:54:06
brain	human	627	1	2017-08-25 17:54:10
brain	human	627	1	2017-08-25 17:54:13
brain	human	627	1	2017-08-25 17:55:54
brain	human	627	1	2017-08-25 18:02:38
brain	human	627	1	2017-08-25 18:02:40
brain	human	627	1	2017-08-25 18:02:49
brain	human	627	1	2017-08-25 18:02:50
brain	human	627	1	2017-08-25 18:02:51
brain	human	627	-1	2017-08-25 18:12:33
brain	human	627	1	2017-08-25 18:13:05
brain	human	627	1	2017-08-25 18:14:06
brain	human	627	1	2017-08-25 18:14:08
brain	human	627	1	2017-08-25 18:14:09
brain	human	627	1	2017-08-25 18:14:10
brain	human	627	1	2017-08-25 18:15:18
brain	human	627	1	2017-08-25 18:15:19
brain	human	627	1	2017-08-25 18:15:20
brain	human	627	1	2017-08-25 18:15:23
brain	human	627	1	2017-08-25 18:16:06
brain	human	627	1	2017-08-25 18:16:07
brain	human	627	1	2017-08-25 18:16:08
brain	human	627	1	2017-08-25 18:17:41
brain	human	627	1	2017-08-25 18:17:43
brain	human	627	1	2017-08-25 18:18:59
brain	human	627	1	2017-08-25 18:33:29
brain	human	627	-1	2017-08-25 18:33:31
brain	human	627	-1	2017-08-25 18:33:33
brain	human	627	1	2017-08-25 18:33:34
brain	human	627	1	2017-08-25 18:38:29
brain	human	627	1	2017-08-25 18:38:37
brain	human	627	-1	2017-08-25 18:38:38
brain	human	627	-1	2017-08-25 18:38:39
brain	human	627	-1	2017-08-25 18:38:41
brain	human	627	1	2017-08-25 18:38:42
brain	human	627	1	2017-08-25 18:38:43
brain	human	5775	1	2017-08-25 18:38:44
brain	human	351	1	2017-08-25 18:38:46
brain	human	627	1	2017-09-01 11:06:33
brain	human	6622	1	2017-09-01 11:06:44
brain	human	627	-1	2017-09-01 11:06:50
brain	human	627	1	2017-09-01 11:06:51
brain	human	3064	1	2017-09-01 11:06:55
brain	human	4879	-1	2017-09-01 11:08:56
brain	human	4879	-1	2017-09-01 11:08:59
brain	human	627	1	2017-09-01 16:01:04
brain	human	5775	1	2017-09-01 16:01:08
brain	human	4879	-1	2017-09-01 16:01:13
brain	human	3064	1	2017-09-01 16:01:16
brain	human	348	-1	2017-09-01 16:01:20
brain	human	348	1	2017-09-01 16:01:24
brain	human	627	1	2017-10-05 15:52:23
brain	human	627	1	2017-10-05 15:54:47
brain	human	627	1	2017-10-05 15:54:50
brain	human	627	1	2017-10-05 15:54:52
brain	human	627	1	2017-10-05 15:54:54
brain	human	627	-1	2017-10-05 15:54:55
brain	human	6622	1	2017-10-05 15:54:58
brain	human	627	1	2017-10-05 15:55:19
brain	human	627	1	2017-10-05 17:19:54
brain	human	627	1	2017-10-05 17:19:57
brain	human	6622	-1	2017-10-05 17:20:03
brain	human	6622	1	2017-10-05 17:20:06
brain	human	627	1	2017-10-05 17:22:44
brain	human	627	1	2017-10-13 13:37:43
brain	human	627	1	2017-10-13 13:37:45
brain	human	627	1	2017-10-13 13:37:46
